ID,SPECIES,ISLAND,SEX,DATE_EGG,YEAR,CULMEN_LENGTH,CULMEN_DEPTH,FLIPPER_LENGTH,BODY_MASS
PAL0708_N12A1,Adelie,Biscoe,female,2007-11-12,2007,35.9,19.2,189.0,3800.0
PAL0708_N12A2,Adelie,Biscoe,male,2007-11-12,2007,38.2,18.1,185.0,3950.0
PAL0708_N13A1,Adelie,Biscoe,male,2007-11-10,2007,38.8,17.2,180.0,3800.0
PAL0708_N13A2,Adelie,Biscoe,female,2007-11-10,2007,35.3,18.9,187.0,3800.0
PAL0708_N17A1,Adelie,Biscoe,male,2007-11-12,2007,40.6,18.6,183.0,3550.0
PAL0708_N17A2,Adelie,Biscoe,female,2007-11-12,2007,40.5,17.9,187.0,3200.0
PAL0708_N18A1,Adelie,Biscoe,female,2007-11-10,2007,37.9,18.6,172.0,3150.0
PAL0708_N18A2,Adelie,Biscoe,male,2007-11-10,2007,40.5,18.9,180.0,3950.0
PAL0708_N21A1,Adelie,Dream,female,2007-11-09,2007,39.5,16.7,178.0,3250.0
PAL0708_N21A2,Adelie,Dream,male,2007-11-09,2007,37.2,18.1,178.0,3900.0
PAL0708_N22A1,Adelie,Dream,female,2007-11-09,2007,39.5,17.8,188.0,3300.0
PAL0708_N22A2,Adelie,Dream,male,2007-11-09,2007,40.9,18.9,184.0,3900.0
PAL0708_N23A1,Adelie,Dream,female,2007-11-16,2007,36.4,17.0,195.0,3325.0
PAL0708_N23A2,Adelie,Dream,male,2007-11-16,2007,39.2,21.1,196.0,4150.0
PAL0708_N24A1,Adelie,Dream,male,2007-11-16,2007,38.8,20.0,190.0,3950.0
PAL0708_N24A2,Adelie,Dream,female,2007-11-16,2007,42.2,18.5,180.0,3550.0
PAL0708_N25A1,Adelie,Dream,female,2007-11-13,2007,37.6,19.3,181.0,3300.0
PAL0708_N25A2,Adelie,Dream,male,2007-11-13,2007,39.8,19.1,184.0,4650.0
PAL0708_N26A1,Adelie,Dream,female,2007-11-16,2007,36.5,18.0,182.0,3150.0
PAL0708_N26A2,Adelie,Dream,male,2007-11-16,2007,40.8,18.4,195.0,3900.0
PAL0708_N27A1,Adelie,Dream,female,2007-11-19,2007,36.0,18.5,186.0,3100.0
PAL0708_N27A2,Adelie,Dream,male,2007-11-19,2007,44.1,19.7,196.0,4400.0
PAL0708_N28A1,Adelie,Dream,female,2007-11-16,2007,37.0,16.9,185.0,3000.0
PAL0708_N28A2,Adelie,Dream,male,2007-11-16,2007,39.6,18.8,190.0,4600.0
PAL0708_N29A1,Adelie,Dream,male,2007-11-13,2007,41.1,19.0,182.0,3425.0
PAL0708_N29A2,Adelie,Dream,,2007-11-13,2007,37.5,18.9,179.0,2975.0
PAL0708_N30A1,Adelie,Dream,female,2007-11-13,2007,36.0,17.9,190.0,3450.0
PAL0708_N30A2,Adelie,Dream,male,2007-11-13,2007,42.3,21.2,191.0,4150.0
PAL0809_N21A1,Adelie,Biscoe,female,2008-11-06,2008,39.6,17.7,186.0,3500.0
PAL0809_N21A2,Adelie,Biscoe,male,2008-11-06,2008,40.1,18.9,188.0,4300.0
PAL0809_N22A1,Adelie,Biscoe,female,2008-11-09,2008,35.0,17.9,190.0,3450.0
PAL0809_N22A2,Adelie,Biscoe,male,2008-11-09,2008,42.0,19.5,200.0,4050.0
PAL0809_N23A1,Adelie,Biscoe,female,2008-11-09,2008,34.5,18.1,187.0,2900.0
PAL0809_N23A2,Adelie,Biscoe,male,2008-11-09,2008,41.4,18.6,191.0,3700.0
PAL0809_N24A1,Adelie,Biscoe,female,2008-11-15,2008,39.0,17.5,186.0,3550.0
PAL0809_N24A2,Adelie,Biscoe,male,2008-11-15,2008,40.6,18.8,193.0,3800.0
PAL0809_N25A1,Adelie,Biscoe,female,2008-11-15,2008,36.5,16.6,181.0,2850.0
PAL0809_N25A2,Adelie,Biscoe,male,2008-11-15,2008,37.6,19.1,194.0,3750.0
PAL0809_N27A1,Adelie,Biscoe,female,2008-11-13,2008,35.7,16.9,185.0,3150.0
PAL0809_N27A2,Adelie,Biscoe,male,2008-11-13,2008,41.3,21.1,195.0,4400.0
PAL0809_N28A1,Adelie,Biscoe,female,2008-11-13,2008,37.6,17.0,185.0,3600.0
PAL0809_N28A2,Adelie,Biscoe,male,2008-11-13,2008,41.1,18.2,192.0,4050.0
PAL0809_N29A1,Adelie,Biscoe,female,2008-11-13,2008,36.4,17.1,184.0,2850.0
PAL0809_N29A2,Adelie,Biscoe,male,2008-11-13,2008,41.6,18.0,192.0,3950.0
PAL0809_N30A1,Adelie,Biscoe,female,2008-11-06,2008,35.5,16.2,195.0,3350.0
PAL0809_N30A2,Adelie,Biscoe,male,2008-11-06,2008,41.1,19.1,188.0,4100.0
PAL0809_N32A1,Adelie,Torgersen,female,2008-11-11,2008,35.9,16.6,190.0,3050.0
PAL0809_N32A2,Adelie,Torgersen,male,2008-11-11,2008,41.8,19.4,198.0,4450.0
PAL0809_N34A1,Adelie,Torgersen,female,2008-11-14,2008,33.5,19.0,190.0,3600.0
PAL0809_N34A2,Adelie,Torgersen,male,2008-11-14,2008,39.7,18.4,190.0,3900.0
PAL0809_N35A1,Adelie,Torgersen,female,2008-11-11,2008,39.6,17.2,196.0,3550.0
PAL0809_N35A2,Adelie,Torgersen,male,2008-11-11,2008,45.8,18.9,197.0,4150.0
PAL0809_N36A1,Adelie,Torgersen,female,2008-11-08,2008,35.5,17.5,190.0,3700.0
PAL0809_N36A2,Adelie,Torgersen,male,2008-11-08,2008,42.8,18.5,195.0,4250.0
PAL0809_N37A1,Adelie,Torgersen,female,2008-11-06,2008,40.9,16.8,191.0,3700.0
PAL0809_N37A2,Adelie,Torgersen,male,2008-11-06,2008,37.2,19.4,184.0,3900.0
PAL0809_N38A1,Adelie,Torgersen,female,2008-11-09,2008,36.2,16.1,187.0,3550.0
PAL0809_N38A2,Adelie,Torgersen,male,2008-11-09,2008,42.1,19.1,195.0,4000.0
PAL0809_N39A1,Adelie,Torgersen,female,2008-11-02,2008,34.6,17.2,189.0,3200.0
PAL0809_N39A2,Adelie,Torgersen,male,2008-11-02,2008,42.9,17.6,196.0,4700.0
PAL0809_N40A1,Adelie,Torgersen,female,2008-11-07,2008,36.7,18.8,187.0,3800.0
PAL0809_N40A2,Adelie,Torgersen,male,2008-11-07,2008,35.1,19.4,193.0,4200.0
PAL0809_N41A1,Adelie,Dream,female,2008-11-17,2008,37.3,17.8,191.0,3350.0
PAL0809_N41A2,Adelie,Dream,male,2008-11-17,2008,41.3,20.3,194.0,3550.0
PAL0809_N42A1,Adelie,Dream,male,2008-11-08,2008,36.3,19.5,190.0,3800.0
PAL0809_N42A2,Adelie,Dream,female,2008-11-08,2008,36.9,18.6,189.0,3500.0
PAL0809_N44A1,Adelie,Dream,male,2008-11-08,2008,38.3,19.2,189.0,3950.0
PAL0809_N44A2,Adelie,Dream,female,2008-11-08,2008,38.9,18.8,190.0,3600.0
PAL0809_N45A1,Adelie,Dream,female,2008-11-14,2008,35.7,18.0,202.0,3550.0
PAL0809_N45A2,Adelie,Dream,male,2008-11-14,2008,41.1,18.1,205.0,4300.0
PAL0809_N46A1,Adelie,Dream,female,2008-11-05,2008,34.0,17.1,185.0,3400.0
PAL0809_N46A2,Adelie,Dream,male,2008-11-05,2008,39.6,18.1,186.0,4450.0
PAL0809_N48A1,Adelie,Dream,female,2008-11-17,2008,36.2,17.3,187.0,3300.0
PAL0809_N48A2,Adelie,Dream,male,2008-11-17,2008,40.8,18.9,208.0,4300.0
PAL0809_N49A1,Adelie,Dream,female,2008-11-08,2008,38.1,18.6,190.0,3700.0
PAL0809_N49A2,Adelie,Dream,male,2008-11-08,2008,40.3,18.5,196.0,4350.0
PAL0809_N50A1,Adelie,Dream,female,2008-11-10,2008,33.1,16.1,178.0,2900.0
PAL0809_N50A2,Adelie,Dream,male,2008-11-10,2008,43.2,18.5,192.0,4100.0
PAL0910_N47A1,Adelie,Biscoe,female,2009-11-09,2009,35.0,17.9,192.0,3725.0
PAL0910_N47A2,Adelie,Biscoe,male,2009-11-09,2009,41.0,20.0,203.0,4725.0
PAL0910_N49A1,Adelie,Biscoe,female,2009-11-15,2009,37.7,16.0,183.0,3075.0
PAL0910_N49A2,Adelie,Biscoe,male,2009-11-15,2009,37.8,20.0,190.0,4250.0
PAL0910_N51A1,Adelie,Biscoe,female,2009-11-15,2009,37.9,18.6,193.0,2925.0
PAL0910_N51A2,Adelie,Biscoe,male,2009-11-15,2009,39.7,18.9,184.0,3550.0
PAL0910_N53A1,Adelie,Biscoe,female,2009-11-15,2009,38.6,17.2,199.0,3750.0
PAL0910_N53A2,Adelie,Biscoe,male,2009-11-15,2009,38.2,20.0,190.0,3900.0
PAL0910_N55A1,Adelie,Biscoe,female,2009-11-20,2009,38.1,17.0,181.0,3175.0
PAL0910_N55A2,Adelie,Biscoe,male,2009-11-20,2009,43.2,19.0,197.0,4775.0
PAL0910_N58A1,Adelie,Biscoe,female,2009-11-12,2009,38.1,16.5,198.0,3825.0
PAL0910_N58A2,Adelie,Biscoe,male,2009-11-12,2009,45.6,20.3,191.0,4600.0
PAL0910_N60A1,Adelie,Biscoe,female,2009-11-15,2009,39.7,17.7,193.0,3200.0
PAL0910_N60A2,Adelie,Biscoe,male,2009-11-15,2009,42.2,19.5,197.0,4275.0
PAL0910_N61A1,Adelie,Biscoe,female,2009-11-17,2009,39.6,20.7,191.0,3900.0
PAL0910_N61A2,Adelie,Biscoe,male,2009-11-17,2009,42.7,18.3,196.0,4075.0
PAL0910_N63A1,Adelie,Torgersen,female,2009-11-18,2009,38.6,17.0,188.0,2900.0
PAL0910_N63A2,Adelie,Torgersen,male,2009-11-18,2009,37.3,20.5,199.0,3775.0
PAL0910_N64A1,Adelie,Torgersen,female,2009-11-22,2009,35.7,17.0,189.0,3350.0
PAL0910_N64A2,Adelie,Torgersen,male,2009-11-22,2009,41.1,18.6,189.0,3325.0
PAL0910_N66A1,Adelie,Torgersen,female,2009-11-17,2009,36.2,17.2,187.0,3150.0
PAL0910_N66A2,Adelie,Torgersen,male,2009-11-17,2009,37.7,19.8,198.0,3500.0
PAL0910_N67A1,Adelie,Torgersen,female,2009-11-16,2009,40.2,17.0,176.0,3450.0
PAL0910_N67A2,Adelie,Torgersen,male,2009-11-16,2009,41.4,18.5,202.0,3875.0
PAL0910_N69A1,Adelie,Torgersen,female,2009-11-18,2009,35.2,15.9,186.0,3050.0
PAL0910_N69A2,Adelie,Torgersen,male,2009-11-18,2009,40.6,19.0,199.0,4000.0
PAL0910_N71A1,Adelie,Torgersen,female,2009-11-21,2009,38.8,17.6,191.0,3275.0
PAL0910_N71A2,Adelie,Torgersen,male,2009-11-21,2009,41.5,18.3,195.0,4300.0
PAL0910_N72A1,Adelie,Torgersen,female,2009-11-18,2009,39.0,17.1,191.0,3050.0
PAL0910_N72A2,Adelie,Torgersen,male,2009-11-18,2009,44.1,18.0,210.0,4000.0
PAL0910_N73A1,Adelie,Torgersen,female,2009-11-23,2009,38.5,17.9,190.0,3325.0
PAL0910_N73A2,Adelie,Torgersen,male,2009-11-23,2009,43.1,19.2,197.0,3500.0
PAL0910_N76A1,Adelie,Dream,female,2009-11-10,2009,36.8,18.5,193.0,3500.0
PAL0910_N76A2,Adelie,Dream,male,2009-11-10,2009,37.5,18.5,199.0,4475.0
PAL0910_N77A1,Adelie,Dream,female,2009-11-13,2009,38.1,17.6,187.0,3425.0
PAL0910_N77A2,Adelie,Dream,male,2009-11-13,2009,41.1,17.5,190.0,3900.0
PAL0910_N78A1,Adelie,Dream,female,2009-11-16,2009,35.6,17.5,191.0,3175.0
PAL0910_N78A2,Adelie,Dream,male,2009-11-16,2009,40.2,20.1,200.0,3975.0
PAL0910_N79A1,Adelie,Dream,female,2009-11-16,2009,37.0,16.5,185.0,3400.0
PAL0910_N79A2,Adelie,Dream,male,2009-11-16,2009,39.7,17.9,193.0,4250.0
PAL0910_N80A1,Adelie,Dream,female,2009-11-14,2009,40.2,17.1,193.0,3400.0
PAL0910_N80A2,Adelie,Dream,male,2009-11-14,2009,40.6,17.2,187.0,3475.0
PAL0910_N81A1,Adelie,Dream,female,2009-11-16,2009,32.1,15.5,188.0,3050.0
PAL0910_N81A2,Adelie,Dream,male,2009-11-16,2009,40.7,17.0,190.0,3725.0
PAL0910_N82A1,Adelie,Dream,female,2009-11-16,2009,37.3,16.8,192.0,3000.0
PAL0910_N82A2,Adelie,Dream,male,2009-11-16,2009,39.0,18.7,185.0,3650.0
PAL0910_N83A1,Adelie,Dream,male,2009-11-13,2009,39.2,18.6,190.0,4250.0
PAL0910_N83A2,Adelie,Dream,female,2009-11-13,2009,36.6,18.4,184.0,3475.0
PAL0910_N84A1,Adelie,Dream,female,2009-11-17,2009,36.0,17.8,195.0,3450.0
PAL0910_N84A2,Adelie,Dream,male,2009-11-17,2009,37.8,18.1,193.0,3750.0
PAL0910_N85A1,Adelie,Dream,female,2009-11-17,2009,36.0,17.1,187.0,3700.0
PAL0910_N85A2,Adelie,Dream,male,2009-11-17,2009,41.5,18.5,201.0,4000.0
PAL0708_N31A1,Gentoo,Biscoe,female,2007-11-27,2007,46.1,13.2,211.0,4500.0
PAL0708_N31A2,Gentoo,Biscoe,male,2007-11-27,2007,50.0,16.3,230.0,5700.0
PAL0708_N32A1,Gentoo,Biscoe,female,2007-11-27,2007,48.7,14.1,210.0,4450.0
PAL0708_N32A2,Gentoo,Biscoe,male,2007-11-27,2007,50.0,15.2,218.0,5700.0
PAL0708_N33A1,Gentoo,Biscoe,male,2007-11-18,2007,47.6,14.5,215.0,5400.0
PAL0708_N33A2,Gentoo,Biscoe,female,2007-11-18,2007,46.5,13.5,210.0,4550.0
PAL0708_N34A1,Gentoo,Biscoe,female,2007-11-27,2007,45.4,14.6,211.0,4800.0
PAL0708_N34A2,Gentoo,Biscoe,male,2007-11-27,2007,46.7,15.3,219.0,5200.0
PAL0708_N35A1,Gentoo,Biscoe,female,2007-11-27,2007,43.3,13.4,209.0,4400.0
PAL0708_N35A2,Gentoo,Biscoe,male,2007-11-27,2007,46.8,15.4,215.0,5150.0
PAL0708_N36A1,Gentoo,Biscoe,female,2007-11-27,2007,40.9,13.7,214.0,4650.0
PAL0708_N36A2,Gentoo,Biscoe,male,2007-11-27,2007,49.0,16.1,216.0,5550.0
PAL0708_N37A1,Gentoo,Biscoe,female,2007-11-29,2007,45.5,13.7,214.0,4650.0
PAL0708_N37A2,Gentoo,Biscoe,male,2007-11-29,2007,48.4,14.6,213.0,5850.0
PAL0708_N38A1,Gentoo,Biscoe,female,2007-12-03,2007,45.8,14.6,210.0,4200.0
PAL0708_N38A2,Gentoo,Biscoe,male,2007-12-03,2007,49.3,15.7,217.0,5850.0
PAL0708_N39A1,Gentoo,Biscoe,female,2007-11-27,2007,42.0,13.5,210.0,4150.0
PAL0708_N39A2,Gentoo,Biscoe,male,2007-11-27,2007,49.2,15.2,221.0,6300.0
PAL0708_N40A1,Gentoo,Biscoe,female,2007-11-27,2007,46.2,14.5,209.0,4800.0
PAL0708_N40A2,Gentoo,Biscoe,male,2007-11-27,2007,48.7,15.1,222.0,5350.0
PAL0708_N41A1,Gentoo,Biscoe,male,2007-11-27,2007,50.2,14.3,218.0,5700.0
PAL0708_N41A2,Gentoo,Biscoe,female,2007-11-27,2007,45.1,14.5,215.0,5000.0
PAL0708_N42A1,Gentoo,Biscoe,female,2007-11-27,2007,46.5,14.5,213.0,4400.0
PAL0708_N42A2,Gentoo,Biscoe,male,2007-11-27,2007,46.3,15.8,215.0,5050.0
PAL0708_N44A1,Gentoo,Biscoe,female,2007-11-29,2007,42.9,13.1,215.0,5000.0
PAL0708_N44A2,Gentoo,Biscoe,male,2007-11-29,2007,46.1,15.1,215.0,5100.0
PAL0708_N46A1,Gentoo,Biscoe,,2007-11-29,2007,44.5,14.3,216.0,4100.0
PAL0708_N46A2,Gentoo,Biscoe,male,2007-11-29,2007,47.8,15.0,215.0,5650.0
PAL0708_N47A1,Gentoo,Biscoe,female,2007-11-29,2007,48.2,14.3,210.0,4600.0
PAL0708_N47A2,Gentoo,Biscoe,male,2007-11-29,2007,50.0,15.3,220.0,5550.0
PAL0708_N50A1,Gentoo,Biscoe,male,2007-11-29,2007,47.3,15.3,222.0,5250.0
PAL0708_N50A2,Gentoo,Biscoe,female,2007-11-29,2007,42.8,14.2,209.0,4700.0
PAL0708_N56A1,Gentoo,Biscoe,female,2007-12-03,2007,45.1,14.5,207.0,5050.0
PAL0708_N56A2,Gentoo,Biscoe,male,2007-12-03,2007,59.6,17.0,230.0,6050.0
PAL0809_N2A1,Gentoo,Biscoe,female,2008-11-13,2008,49.1,14.8,220.0,5150.0
PAL0809_N2A2,Gentoo,Biscoe,male,2008-11-13,2008,48.4,16.3,220.0,5400.0
PAL0809_N4A1,Gentoo,Biscoe,female,2008-11-02,2008,42.6,13.7,213.0,4950.0
PAL0809_N4A2,Gentoo,Biscoe,male,2008-11-02,2008,44.4,17.3,219.0,5250.0
PAL0809_N5A1,Gentoo,Biscoe,female,2008-11-09,2008,44.0,13.6,208.0,4350.0
PAL0809_N5A2,Gentoo,Biscoe,male,2008-11-09,2008,48.7,15.7,208.0,5350.0
PAL0809_N6A1,Gentoo,Biscoe,female,2008-11-04,2008,42.7,13.7,208.0,3950.0
PAL0809_N6A2,Gentoo,Biscoe,male,2008-11-04,2008,49.6,16.0,225.0,5700.0
PAL0809_N7A1,Gentoo,Biscoe,female,2008-11-04,2008,45.3,13.7,210.0,4300.0
PAL0809_N7A2,Gentoo,Biscoe,male,2008-11-04,2008,49.6,15.0,216.0,4750.0
PAL0809_N8A1,Gentoo,Biscoe,male,2008-11-03,2008,50.5,15.9,222.0,5550.0
PAL0809_N8A2,Gentoo,Biscoe,female,2008-11-03,2008,43.6,13.9,217.0,4900.0
PAL0809_N11A1,Gentoo,Biscoe,female,2008-11-09,2008,45.5,13.9,210.0,4200.0
PAL0809_N11A2,Gentoo,Biscoe,male,2008-11-09,2008,50.5,15.9,225.0,5400.0
PAL0809_N12A1,Gentoo,Biscoe,female,2008-11-02,2008,44.9,13.3,213.0,5100.0
PAL0809_N12A2,Gentoo,Biscoe,male,2008-11-02,2008,45.2,15.8,215.0,5300.0
PAL0809_N13A1,Gentoo,Biscoe,female,2008-11-04,2008,46.6,14.2,210.0,4850.0
PAL0809_N13A2,Gentoo,Biscoe,male,2008-11-04,2008,48.5,14.1,220.0,5300.0
PAL0809_N14A1,Gentoo,Biscoe,female,2008-11-04,2008,45.1,14.4,210.0,4400.0
PAL0809_N14A2,Gentoo,Biscoe,male,2008-11-04,2008,50.1,15.0,225.0,5000.0
PAL0809_N15A1,Gentoo,Biscoe,female,2008-11-04,2008,46.5,14.4,217.0,4900.0
PAL0809_N15A2,Gentoo,Biscoe,male,2008-11-04,2008,45.0,15.4,220.0,5050.0
PAL0809_N16A1,Gentoo,Biscoe,female,2008-11-03,2008,43.8,13.9,208.0,4300.0
PAL0809_N16A2,Gentoo,Biscoe,male,2008-11-03,2008,45.5,15.0,220.0,5000.0
PAL0809_N17A1,Gentoo,Biscoe,female,2008-11-06,2008,43.2,14.5,208.0,4450.0
PAL0809_N17A2,Gentoo,Biscoe,male,2008-11-06,2008,50.4,15.3,224.0,5550.0
PAL0809_N18A1,Gentoo,Biscoe,female,2008-11-03,2008,45.3,13.8,208.0,4200.0
PAL0809_N18A2,Gentoo,Biscoe,male,2008-11-03,2008,46.2,14.9,221.0,5300.0
PAL0809_N19A1,Gentoo,Biscoe,female,2008-11-13,2008,45.7,13.9,214.0,4400.0
PAL0809_N19A2,Gentoo,Biscoe,male,2008-11-13,2008,54.3,15.7,231.0,5650.0
PAL0809_N20A1,Gentoo,Biscoe,female,2008-11-04,2008,45.8,14.2,219.0,4700.0
PAL0809_N20A2,Gentoo,Biscoe,male,2008-11-04,2008,49.8,16.8,230.0,5700.0
PAL0809_N51A1,Gentoo,Biscoe,,2008-11-09,2008,46.2,14.4,214.0,4650.0
PAL0809_N51A2,Gentoo,Biscoe,male,2008-11-09,2008,49.5,16.2,229.0,5800.0
PAL0809_N53A1,Gentoo,Biscoe,female,2008-11-13,2008,43.5,14.2,220.0,4700.0
PAL0809_N53A2,Gentoo,Biscoe,male,2008-11-13,2008,50.7,15.0,223.0,5550.0
PAL0809_N54A1,Gentoo,Biscoe,female,2008-11-03,2008,47.7,15.0,216.0,4750.0
PAL0809_N54A2,Gentoo,Biscoe,male,2008-11-03,2008,46.4,15.6,221.0,5000.0
PAL0809_N55A1,Gentoo,Biscoe,male,2008-11-09,2008,48.2,15.6,221.0,5100.0
PAL0809_N55A2,Gentoo,Biscoe,female,2008-11-09,2008,46.5,14.8,217.0,5200.0
PAL0809_N56A1,Gentoo,Biscoe,female,2008-11-06,2008,46.4,15.0,216.0,4700.0
PAL0809_N56A2,Gentoo,Biscoe,male,2008-11-06,2008,48.6,16.0,230.0,5800.0
PAL0809_N58A1,Gentoo,Biscoe,female,2008-11-06,2008,47.5,14.2,209.0,4600.0
PAL0809_N58A2,Gentoo,Biscoe,male,2008-11-06,2008,51.1,16.3,220.0,6000.0
PAL0809_N60A1,Gentoo,Biscoe,female,2008-11-09,2008,45.2,13.8,215.0,4750.0
PAL0809_N60A2,Gentoo,Biscoe,male,2008-11-09,2008,45.2,16.4,223.0,5950.0
PAL0910_N1A1,Gentoo,Biscoe,female,2009-11-18,2009,49.1,14.5,212.0,4625.0
PAL0910_N1A2,Gentoo,Biscoe,male,2009-11-18,2009,52.5,15.6,221.0,5450.0
PAL0910_N6A1,Gentoo,Biscoe,female,2009-11-15,2009,47.4,14.6,212.0,4725.0
PAL0910_N6A2,Gentoo,Biscoe,male,2009-11-15,2009,50.0,15.9,224.0,5350.0
PAL0910_N8A1,Gentoo,Biscoe,female,2009-11-22,2009,44.9,13.8,212.0,4750.0
PAL0910_N8A2,Gentoo,Biscoe,male,2009-11-22,2009,50.8,17.3,228.0,5600.0
PAL0910_N13A1,Gentoo,Biscoe,female,2009-11-20,2009,43.4,14.4,218.0,4600.0
PAL0910_N13A2,Gentoo,Biscoe,male,2009-11-20,2009,51.3,14.2,218.0,5300.0
PAL0910_N14A1,Gentoo,Biscoe,female,2009-11-25,2009,47.5,14.0,212.0,4875.0
PAL0910_N14A2,Gentoo,Biscoe,male,2009-11-25,2009,52.1,17.0,230.0,5550.0
PAL0910_N15A1,Gentoo,Biscoe,female,2009-11-25,2009,47.5,15.0,218.0,4950.0
PAL0910_N15A2,Gentoo,Biscoe,male,2009-11-25,2009,52.2,17.1,228.0,5400.0
PAL0910_N18A1,Gentoo,Biscoe,female,2009-12-01,2009,45.5,14.5,212.0,4750.0
PAL0910_N18A2,Gentoo,Biscoe,male,2009-12-01,2009,49.5,16.1,224.0,5650.0
PAL0910_N19A1,Gentoo,Biscoe,female,2009-11-27,2009,44.5,14.7,214.0,4850.0
PAL0910_N19A2,Gentoo,Biscoe,male,2009-11-27,2009,50.8,15.7,226.0,5200.0
PAL0910_N20A1,Gentoo,Biscoe,male,2009-11-18,2009,49.4,15.8,216.0,4925.0
PAL0910_N20A2,Gentoo,Biscoe,female,2009-11-18,2009,46.9,14.6,222.0,4875.0
PAL0910_N21A1,Gentoo,Biscoe,female,2009-11-18,2009,48.4,14.4,203.0,4625.0
PAL0910_N21A2,Gentoo,Biscoe,male,2009-11-18,2009,51.1,16.5,225.0,5250.0
PAL0910_N22A1,Gentoo,Biscoe,female,2009-11-22,2009,48.5,15.0,219.0,4850.0
PAL0910_N22A2,Gentoo,Biscoe,male,2009-11-22,2009,55.9,17.0,228.0,5600.0
PAL0910_N23A1,Gentoo,Biscoe,female,2009-11-18,2009,47.2,15.5,215.0,4975.0
PAL0910_N23A2,Gentoo,Biscoe,male,2009-11-18,2009,49.1,15.0,228.0,5500.0
PAL0910_N24A1,Gentoo,Biscoe,,2009-12-01,2009,47.3,13.8,216.0,4725.0
PAL0910_N24A2,Gentoo,Biscoe,male,2009-12-01,2009,46.8,16.1,215.0,5500.0
PAL0910_N28A1,Gentoo,Biscoe,female,2009-11-10,2009,41.7,14.7,210.0,4700.0
PAL0910_N28A2,Gentoo,Biscoe,male,2009-11-10,2009,53.4,15.8,219.0,5500.0
PAL0910_N29A1,Gentoo,Biscoe,female,2009-11-09,2009,43.3,14.0,208.0,4575.0
PAL0910_N29A2,Gentoo,Biscoe,male,2009-11-09,2009,48.1,15.1,209.0,5500.0
PAL0910_N32A1,Gentoo,Biscoe,female,2009-11-20,2009,50.5,15.2,216.0,5000.0
PAL0910_N32A2,Gentoo,Biscoe,male,2009-11-20,2009,49.8,15.9,229.0,5950.0
PAL0910_N34A1,Gentoo,Biscoe,female,2009-11-27,2009,43.5,15.2,213.0,4650.0
PAL0910_N34A2,Gentoo,Biscoe,male,2009-11-27,2009,51.5,16.3,230.0,5500.0
PAL0910_N35A1,Gentoo,Biscoe,female,2009-11-25,2009,46.2,14.1,217.0,4375.0
PAL0910_N35A2,Gentoo,Biscoe,male,2009-11-25,2009,55.1,16.0,230.0,5850.0
PAL0910_N36A1,Gentoo,Biscoe,,2009-12-01,2009,44.5,15.7,217.0,4875.0
PAL0910_N36A2,Gentoo,Biscoe,male,2009-12-01,2009,48.8,16.2,222.0,6000.0
PAL0910_N38A1,Gentoo,Biscoe,female,2009-12-01,2009,47.2,13.7,214.0,4925.0
PAL0910_N38A2,Gentoo,Biscoe,,2009-12-01,2009,,,,
